COMPONENT_LIB_ID,AGENT_LIB_NAME,AGENT_ORG_CLASS,BLANK
"NCA","NCA","MilitaryOrganization",
"FORSCOM","FORSCOM","MilitaryOrganization",
"DLAHQ","DLAHQ","MilitaryOrganization",
"OSC","OSC","MilitaryOrganization",
"HNS","HNS","MilitaryOrganization",
"USEUCOM","USEUCOM","MilitaryOrganization",
"USAEUR","USAEUR","MilitaryOrganization",
"NATO","NATO","MilitaryOrganization",
"JSRCMDSE","JSRCMDSE","MilitaryOrganization",
"TRANSCOM","TRANSCOM","MilitaryOrganization",
"GlobalSea","GlobalSea","MilitaryOrganization",
"GlobalAir","GlobalAir","MilitaryOrganization",
"ShipPacker","ShipPacker","MilitaryOrganization",
"PlanePacker","PlanePacker","MilitaryOrganization",
"CONUSGround","CONUSGround","MilitaryOrganization",
"TheaterGround","TheaterGround","MilitaryOrganization",
"5-CORPS","5-CORPS","MilitaryOrganization",
"1-AD","1-AD","MilitaryOrganization",
"1-AD-DIV","1-AD-DIV","MilitaryOrganization",
"501-MPCO","501-MPCO","MilitaryOrganization",
"141-SIGBN","141-SIGBN","MilitaryOrganization",
"1-4-ADABN","1-4-ADABN","MilitaryOrganization",
"501-MIBN-CEWI","501-MIBN-CEWI","MilitaryOrganization",
"69-CHEMCO","69-CHEMCO","MilitaryOrganization",
"1-BDE-1-AD","1-BDE-1-AD","MilitaryOrganization",
"2-37-ARBN","2-37-ARBN","MilitaryOrganization",
"1-36-INFBN","1-36-INFBN","MilitaryOrganization",
"1-37-ARBN","1-37-ARBN","MilitaryOrganization",
"16-ENGBN","16-ENGBN","MilitaryOrganization",
"2-3-FABN","2-3-FABN","MilitaryOrganization",
"501-FSB","501-FSB","MilitaryOrganization",
"2-BDE-1-AD","2-BDE-1-AD","MilitaryOrganization",
"1-6-INFBN","1-6-INFBN","MilitaryOrganization",
"2-6-INFBN","2-6-INFBN","MilitaryOrganization",
"1-35-ARBN","1-35-ARBN","MilitaryOrganization",
"40-ENGBN","40-ENGBN","MilitaryOrganization",
"4-27-FABN","4-27-FABN","MilitaryOrganization",
"47-FSB","47-FSB","MilitaryOrganization",
"3-BDE-1-AD","3-BDE-1-AD","MilitaryOrganization",
"1-13-ARBN","1-13-ARBN","MilitaryOrganization",
"1-41-INFBN","1-41-INFBN","MilitaryOrganization",
"2-70-ARBN","2-70-ARBN","MilitaryOrganization",
"70-ENGBN","70-ENGBN","MilitaryOrganization",
"4-1-FABN","4-1-FABN","MilitaryOrganization",
"125-FSB","125-FSB","MilitaryOrganization",
"DIVARTY-1-AD","DIVARTY-1-AD","MilitaryOrganization",
"25-FABTRY-TGTACQ","25-FABTRY-TGTACQ","MilitaryOrganization",
"1-94-FABN","1-94-FABN","MilitaryOrganization",
"DISCOM-1-AD","DISCOM-1-AD","MilitaryOrganization",
"123-MSB","123-MSB","MilitaryOrganization",
"AVNBDE-1-AD","AVNBDE-1-AD","MilitaryOrganization",
"1-1-CAVSQDN","1-1-CAVSQDN","MilitaryOrganization",
"1-501-AVNBN","1-501-AVNBN","MilitaryOrganization",
"2-501-AVNBN","2-501-AVNBN","MilitaryOrganization",
"127-DASB","127-DASB","MilitaryOrganization",
"16-CSG","16-CSG","MilitaryOrganization",
"485-CSB","485-CSB","MilitaryOrganization",
"596-MAINTCO","596-MAINTCO","MilitaryOrganization",
"26-SSCO","26-SSCO","MilitaryOrganization",
"588-MAINTCO","588-MAINTCO","MilitaryOrganization",
"592-ORDCO","592-ORDCO","MilitaryOrganization",
"102-POL-SUPPLYCO","102-POL-SUPPLYCO","MilitaryOrganization",
"18-MAINTBN","18-MAINTBN","MilitaryOrganization",
"77-MAINTCO","77-MAINTCO","MilitaryOrganization",
"226-MAINTCO","226-MAINTCO","MilitaryOrganization",
"263-FLDSVC-CO","263-FLDSVC-CO","MilitaryOrganization",
"227-SUPPLYCO","227-SUPPLYCO","MilitaryOrganization",
"406-SUPPLYCO","227-SUPPLYCO","MilitaryOrganization",
"106-TCBN","106-TCBN","MilitaryOrganization",
"594-MDM-TRKCO","594-MDM-TRKCO","MilitaryOrganization",
"372-CGO-TRANSCO","372-CGO-TRANSCO","MilitaryOrganization",
"15-PLS-TRKCO","15-PLS-TRKCO","MilitaryOrganization",
"238-POL-TRKCO","238-POL-TRKCO","MilitaryOrganization",
"3-SUPCOM-HQ","3-SUPCOM-HQ","MilitaryOrganization",
"208-SCCO","208-SCCO","MilitaryOrganization",
"27-TCBN-MVTCTRL","27-TCBN-MVTCTRL","MilitaryOrganization",
"19-MMC","19-MMC","MilitaryOrganization",
"7-CSG","7-CSG","MilitaryOrganization",
"71-MAINTBN","71-MAINTBN","MilitaryOrganization",
"240-SSCO","240-SSCO","MilitaryOrganization",
"317-MAINTCO","317-MAINTCO","MilitaryOrganization",
"597-MAINTCO","597-MAINTCO","MilitaryOrganization",
"565-RPRPTCO","565-RPRPTCO","MilitaryOrganization",
"71-ORDCO","71-ORDCO","MilitaryOrganization",
"561-SSBN","561-SSBN","MilitaryOrganization",
"541-POL-TRKCO","541-POL-TRKCO","MilitaryOrganization",
"584-MAINTCO","584-MAINTCO","MilitaryOrganization",
"181-TCBN","181-TCBN","MilitaryOrganization",
"377-HVY-TRKCO","377-HVY-TRKCO","MilitaryOrganization",
"41-POL-TRKCO","41-POL-TRKCO","MilitaryOrganization",
"51-MDM-TRKCO","51-MDM-TRKCO","MilitaryOrganization",
"316-POL-SUPPLYBN","316-POL-SUPPLYBN","MilitaryOrganization",
"900-POL-SUPPLYCO","900-POL-SUPPLYCO","MilitaryOrganization",
"515-POL-TRKCO","515-POL-TRKCO","MilitaryOrganization",
"125-ORDBN","125-ORDBN","MilitaryOrganization",
"452-ORDCO","452-ORDCO","MilitaryOrganization",
"529-ORDCO","529-ORDCO","MilitaryOrganization",
"5-CORPS-REAR","5-CORPS-REAR","MilitaryOrganization",
"11-AVN-RGT","11-AVN-RGT","MilitaryOrganization",
"12-AVNBDE","12-AVNBDE","MilitaryOrganization",
"130-ENGBDE","130-ENGBDE","MilitaryOrganization",
"52-ENGBN-CBTHVY","52-ENGBN-CBTHVY","MilitaryOrganization",
"244-ENGBN-CBTHVY","244-ENGBN-CBTHVY","MilitaryOrganization",
"69-ADABDE","69-ADABDE","MilitaryOrganization",
"286-ADA-SCCO","286-ADA-SCCO","MilitaryOrganization",
"18-MPBDE","18-MPBDE","MilitaryOrganization",
"205-MIBDE","205-MIBDE","MilitaryOrganization",
"30-MEDBDE","30-MEDBDE","MilitaryOrganization",
"22-SIGBDE","22-SIGBDE","MilitaryOrganization",
"5-CORPS-ARTY","5-CORPS-ARTY","MilitaryOrganization",
"41-FABDE","41-FABDE","MilitaryOrganization",
"2-4-FABN-MLRS","2-4-FABN-MLRS","MilitaryOrganization",
"1-27-FABN","1-27-FABN","MilitaryOrganization",
"3-13-FABN-155","3-13-FABN-155","MilitaryOrganization",
"21-TSC-HQ","21-TSC-HQ","MilitaryOrganization",
"AWR-2","AWR-2","MilitaryOrganization",
"200-MMC","200-MMC","MilitaryOrganization",
"RSA","RSA","MilitaryOrganization",
"7-TCGP-TPTDD","7-TCGP-TPTDD","MilitaryOrganization",
"29-SPTGP","29-SPTGP","MilitaryOrganization",
"51-MAINTBN","51-MAINTBN","MilitaryOrganization",
"512-MAINTCO","512-MAINTCO","MilitaryOrganization",
"574-SSCO","574-SSCO","MilitaryOrganization",
"5-MAINTCO","5-MAINTCO","MilitaryOrganization",
"343-SUPPLYCO","343-SUPPLYCO","MilitaryOrganization",
"18-PERISH-SUBPLT","18-PERISH-SUBPLT","MilitaryOrganization",
"191-ORDBN","191-ORDBN","MilitaryOrganization",
"23-ORDCO","23-ORDCO","MilitaryOrganization",
"702-EODDET","702-EODDET","MilitaryOrganization",
"720-EODDET","720-EODDET","MilitaryOrganization",
"24-ORDCO","24-ORDCO","MilitaryOrganization",
"37-TRANSGP","37-TRANSGP","MilitaryOrganization",
"28-TCBN","28-TCBN","MilitaryOrganization",
"66-MDM-TRKCO","66-MDM-TRKCO","MilitaryOrganization",
"68-MDM-TRKCO","68-MDM-TRKCO","MilitaryOrganization",
"109-MDM-TRKCO","109-MDM-TRKCO","MilitaryOrganization",
"6-TCBN","6-TCBN","MilitaryOrganization",
"416-POL-TRKCO","416-POL-TRKCO","MilitaryOrganization",
"110-POL-SUPPLYCO","110-POL-SUPPLYCO","MilitaryOrganization",
"632-MAINTCO","632-MAINTCO","MilitaryOrganization",
